state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,law_id
Alaska,AK,02,2020,1,Local laws preempted by state,Comprehensive,handgun and long gun,#N/A,AK1047
Alaska,AK,02,2021,1,Local laws preempted by state,Comprehensive,handgun and long gun,#N/A,AK1047
Alaska,AK,02,2022,1,Local laws preempted by state,Comprehensive,handgun and long gun,#N/A,AK1047
Alaska,AK,02,2023,0.999,Local laws preempted by state,Comprehensive,handgun and long gun,#N/A,AK1047
Alaska,AK,02,2015,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2016,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2017,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2018,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2019,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2020,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2021,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2022,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2023,0.999,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AK1050
Alaska,AK,02,2015,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2016,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2017,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2018,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2019,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2020,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2021,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2022,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2023,0,Firearm sales restrictions,Assault weapons ban — federal,handgun,#N/A,AK1051
Alaska,AK,02,2015,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2016,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2017,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2018,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2019,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2020,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2021,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2022,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2023,0,Firearm sales restrictions,Assault weapons ban — federal,long gun,#N/A,AK1052
Alaska,AK,02,2015,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2016,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2017,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2018,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2019,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2020,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2021,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2022,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2023,0,Firearm sales restrictions,Ban on high capacity magazines – federal,handgun and long gun,#N/A,AK1053
Alaska,AK,02,2015,1,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
